Sentence #,Word,Tag
Sentence: 1,John,B-per
,",",O
,a,O
,skilled,O
,software,B-occu
,developer,I-occu
,at,O
,Microsoft,B-org
,",",O
,created,O
,a,O
,new,O
,application,O
,to,O
,streamline,O
,business,O
,processes,O
,",",O
,showcasing,O
,his,O
,innovation,O
,and,O
,expertise,O
,in,O
,software,O
,solutions,O
,.,O
Sentence: 2,Sarah,B-per
,",",O
,the,O
,diligent,O
,project,B-occu
,manager,I-occu
,at,O
,Google,B-org
,",",O
,ensured,O
,that,O
,her,O
,team,O
,",",O
,including,O
,John,B-per
,and,O
,Lisa,B-per
,",",O
,the,O
,UI/UX,B-occu
,designer,I-occu
,",",O
,met,O
,the,O
,tight,O
,deadline,O
,for,O
,the,O
,software,O
,release,O
,",",O
,coordinating,O
,efforts,O
,for,O
,a,O
,successful,O
,project,O
,delivery,O
,.,O
Sentence: 3,Michael,B-per
,",",O
,a,O
,meticulous,O
,QA,B-occu
,engineer,I-occu
,with,O
,Apple,B-org
,",",O
,rigorously,O
,tested,O
,every,O
,feature,O
,",",O
,collaborating,O
,with,O
,Sarah,B-per
,and,O
,David,B-per
,",",O
,the,O
,database,B-occu
,administrator,I-occu
,",",O
,to,O
,guarantee,O
,a,O
,bug-free,O
,software,O
,experience,O
,and,O
,maintain,O
,high-quality,O
,standards,O
,.,O
Sentence: 4,Lisa,B-per
,",",O
,a,O
,dedicated,O
,system,B-occu
,analyst,I-occu
,at,O
,IBM,B-org
,",",O
,collaborated,O
,with,O
,John,B-per
,and,O
,Emily,B-per
,",",O
,the,O
,UI/UX,B-occu
,designer,I-occu
,",",O
,to,O
,analyze,O
,the,O
,client's,O
,requirements,O
,and,O
,design,O
,a,O
,customized,O
,software,O
,solution,O
,",",O
,aligning,O
,the,O
,product,O
,with,O
,specific,O
,user,O
,needs,O
,.,O
Sentence: 5,Emily,B-per
,",",O
,the,O
,talented,O
,UI/UX,B-occu
,designer,I-occu
,at,O
,Adobe,B-org
,",",O
,collaborated,O
,with,O
,Lisa,B-per
,and,O
,David,B-per
,",",O
,the,O
,database,B-occu
,administrator,I-occu
,",",O
,crafting,O
,an,O
,intuitive,O
,interface,O
,that,O
,enhanced,O
,the,O
,user,O
,experience,O
,",",O
,prioritizing,O
,aesthetics,O
,and,O
,usability,O
,.,O
Sentence: 6,David,B-per
,",",O
,a,O
,skilled,O
,database,B-occu
,administrator,I-occu
,with,O
,Oracle,B-org
,",",O
,optimized,O
,the,O
,database,O
,performance,O
,for,O
,faster,O
,query,O
,execution,O
,",",O
,collaborating,O
,with,O
,Emily,B-per
,and,O
,Olivia,B-per
,",",O
,the,O
,network,B-occu
,administrator,I-occu
Sentence: 7,Olivia,B-per
,",",O
,the,O
,network,B-occu
,administrator,I-occu
,at,O
,Cisco,B-org
,",",O
,collaborated,O
,with,O
,David,B-per
,and,O
,Michael,B-per
,",",O
,the,O
,QA,B-occu
,engineer,I-occu
,",",O
,resolving,O
,connectivity,O
,issues,O
,to,O
,maintain,O
,a,O
,seamless,O
,workflow,O
,",",O
,ensuring,O
,uninterrupted,O
,software,O
,development,O
,.,O
Sentence: 8,Brian,B-per
,",",O
,a,O
,technical,B-occu
,support,I-occu
,engineer,I-occu
,at,O
,Dell,B-org
,",",O
,collaborated,O
,with,O
,Olivia,B-per
,and,O
,John,B-per
,",",O
,the,O
,software,B-occu
,developer,I-occu
,",",O
,providing,O
,prompt,O
,assistance,O
,to,O
,resolve,O
,software,O
,issues,O
,",",O
,offering,O
,valuable,O
,support,O
,to,O
,end-users,O
,.,O
Sentence: 9,Rachel,B-per
,",",O
,a,O
,business,B-occu
,analyst,I-occu
,at,O
,SAP,B-org
,",",O
,collaborated,O
,with,O
,Lisa,B-per
,and,O
,Mark,B-per
,",",O
,the,O
,Scrum,B-occu
,master,I-occu
,",",O
,conducting,O
,market,O
,research,O
,to,O
,identify,O
,opportunities,O
,for,O
,improvement,O
,",",O
,contributing,O
,to,O
,informed,O
,development,O
,decisions,O
,.,O
Sentence: 10,Alex,B-per
,",",O
,a,O
,proficient,O
,DevOps,B-occu
,engineer,I-occu
,at,O
,Amazon,B-org
,Web,I-org
,Services,I-org
,",",O
,collaborated,O
,with,O
,John,B-per
,and,O
,Brian,B-per
,",",O
,the,O
,technical,B-occu
,support,I-occu
,engineer,I-occu
,",",O
,to,O
,automate,O
,deployment,O
,processes,O
,",",O
,improving,O
,overall,O
,efficiency,O
,and,O
,productivity,O
,.,O
Sentence: 11,Legal,B-occu
,counsel,I-occu
,at,O
,Oracle,B-org
,",",O
,including,O
,Lisa,B-per
,",",O
,reviewed,O
,and,O
,approved,O
,contracts,O
